CohortMonth,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
2010-12,885,324,286,340,321,352,321,309,313,350,331,445,235
2011-01,417,92,111,96,134,120,103,101,125,136,152,49,0
2011-02,380,71,71,108,103,94,96,106,94,116,26,0,0
2011-03,452,68,114,90,101,76,121,104,126,39,0,0,0
2011-04,300,64,61,63,59,68,65,78,22,0,0,0,0
2011-05,284,54,49,49,59,66,75,27,0,0,0,0,0
2011-06,242,42,38,64,56,81,23,0,0,0,0,0,0
2011-07,188,34,39,42,51,21,0,0,0,0,0,0,0
2011-08,169,35,42,41,21,0,0,0,0,0,0,0,0
2011-09,299,70,90,34,0,0,0,0,0,0,0,0,0
2011-10,358,86,41,0,0,0,0,0,0,0,0,0,0
2011-11,323,36,0,0,0,0,0,0,0,0,0,0,0
2011-12,41,0,0,0,0,0,0,0,0,0,0,0,0
