CustomerID,Recency,Monetary,Frequency,R_Score,F_Score,M_Score,RFM_Score,Segment
18245.0,6,2567.06,7,5,5,5,15,Champions
18241.0,9,2073.09,17,5,5,5,15,Champions
18230.0,8,2810.2000000000003,7,5,5,5,15,Champions
18229.0,11,7276.9,20,5,5,5,15,Champions
18225.0,2,5504.96,12,5,5,5,15,Champions
18223.0,4,6484.54,14,5,5,5,15,Champions
18219.0,2,2069.77,10,5,5,5,15,Champions
18210.0,1,2621.38,6,5,5,5,15,Champions
18198.0,3,5425.56,17,5,5,5,15,Champions
18144.0,7,2888.75,12,5,5,5,15,Champions
18118.0,10,5625.08,26,5,5,5,15,Champions
18109.0,1,8004.92,26,5,5,5,15,Champions
18102.0,0,259657.3,60,5,5,5,15,Champions
18097.0,7,2662.4,6,5,5,5,15,Champions
18092.0,1,9068.26,11,5,5,5,15,Champions
18077.0,7,2584.41,11,5,5,5,15,Champions
18065.0,5,2392.83,14,5,5,5,15,Champions
18055.0,6,6761.34,10,5,5,5,15,Champions
18044.0,3,2088.6,10,5,5,5,15,Champions
18041.0,11,4097.37,21,5,5,5,15,Champions
17954.0,4,2314.13,12,5,5,5,15,Champions
17949.0,0,58510.48,45,5,5,5,15,Champions
17937.0,8,4301.22,7,5,5,5,15,Champions
17924.0,11,2962.5,7,5,5,5,15,Champions
17920.0,3,4119.5,17,5,5,5,15,Champions
17861.0,2,2097.88,8,5,5,5,15,Champions
17858.0,5,5140.66,12,5,5,5,15,Champions
17857.0,3,26879.04,23,5,5,5,15,Champions
17841.0,1,40519.840000000004,124,5,5,5,15,Champions
17811.0,3,7761.82,39,5,5,5,15,Champions
17769.0,12,3957.4300000000003,10,5,5,5,15,Champions
17757.0,0,5593.39,30,5,5,5,15,Champions
17744.0,3,2322.4,6,5,5,5,15,Champions
17739.0,11,2791.35,7,5,5,5,15,Champions
17735.0,1,13110.02,19,5,5,5,15,Champions
17730.0,2,5298.4800000000005,13,5,5,5,15,Champions
12417.0,2,3649.1,9,5,5,5,15,Champions
17706.0,3,10504.49,17,5,5,5,15,Champions
17686.0,6,5739.46,7,5,5,5,15,Champions
17682.0,9,2474.33,6,5,5,5,15,Champions
17677.0,1,16345.380000000001,30,5,5,5,15,Champions
17675.0,0,20374.28,31,5,5,5,15,Champions
17655.0,10,2638.94,7,5,5,5,15,Champions
17651.0,11,3945.0,10,5,5,5,15,Champions
17644.0,0,2895.64,11,5,5,5,15,Champions
17611.0,6,3961.12,15,5,5,5,15,Champions
17602.0,1,5054.42,6,5,5,5,15,Champions
17581.0,0,11025.24,25,5,5,5,15,Champions
17576.0,7,3564.83,19,5,5,5,15,Champions
17567.0,6,4331.48,8,5,5,5,15,Champions
12437.0,1,4951.41,18,5,5,5,15,Champions
12433.0,0,13375.87,7,5,5,5,15,Champions
17530.0,0,2367.12,10,5,5,5,15,Champions
17528.0,0,3628.5,8,5,5,5,15,Champions
17511.0,2,91062.38,31,5,5,5,15,Champions
17491.0,0,3558.87,10,5,5,5,15,Champions
17490.0,0,2092.32,7,5,5,5,15,Champions
17450.0,7,194390.79,46,5,5,5,15,Champions
17449.0,1,2519.21,7,5,5,5,15,Champions
17434.0,1,2373.82,7,5,5,5,15,Champions
17428.0,0,17256.85,28,5,5,5,15,Champions
17426.0,7,5037.26,6,5,5,5,15,Champions
17419.0,10,4226.57,12,5,5,5,15,Champions
17404.0,3,31906.82,15,5,5,5,15,Champions
17402.0,4,2633.85,13,5,5,5,15,Champions
17389.0,0,31833.68,34,5,5,5,15,Champions
17386.0,7,2686.42,6,5,5,5,15,Champions
17381.0,8,20275.61,29,5,5,5,15,Champions
17365.0,12,4767.36,8,5,5,5,15,Champions
17364.0,0,4462.68,11,5,5,5,15,Champions
17346.0,3,2622.88,15,5,5,5,15,Champions
17315.0,1,6281.23,38,5,5,5,15,Champions
17306.0,10,8631.31,19,5,5,5,15,Champions
17243.0,0,8540.05,26,5,5,5,15,Champions
17238.0,2,3719.1,17,5,5,5,15,Champions
17231.0,11,3124.72,10,5,5,5,15,Champions
17188.0,10,2474.23,7,5,5,5,15,Champions
17183.0,7,3347.31,6,5,5,5,15,Champions
