Segment,StockCode,Description,Revenue,Quantity,Orders,Customers
About to Sleep,22423,REGENCY CAKESTAND 3 TIER,1088.85,95,15,15
About to Sleep,23355,HOT WATER BOTTLE KEEP CALM,615.6,136,15,15
About to Sleep,23064,CINDERELLA CHANDELIER ,417.5,10,1,1
About to Sleep,22941,CHRISTMAS LIGHTS 10 REINDEER,408.0,48,14,14
About to Sleep,22386,JUMBO BAG PINK POLKADOT,403.76,222,5,5
About to Sleep,85099B,JUMBO BAG RED RETROSPOT,397.4,205,12,12
About to Sleep,22138,BAKING SET 9 PIECE RETROSPOT ,389.1,82,19,19
About to Sleep,72802C,VANILLA SCENT CANDLE JEWELLED BOX,368.5,290,3,3
About to Sleep,84879,ASSORTED COLOUR BIRD ORNAMENT,365.04,216,17,17
About to Sleep,22112,CHOCOLATE HOT WATER BOTTLE,363.3,84,7,7
At Risk,22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2,1
At Risk,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17486.35,6727,239,138
At Risk,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,13451.25,6382,15,13
At Risk,48185,DOORMAT FAIRY CAKE,9298.25,1407,30,20
At Risk,21175,GIN + TONIC DIET METAL SIGN,8210.25,4460,61,43
At Risk,22423,REGENCY CAKESTAND 3 TIER,7664.7,626,180,125
At Risk,47566,PARTY BUNTING,7364.45,1605,167,116
At Risk,47556B,TEA TIME TEA TOWELS ,6045.0,2600,2,1
At Risk,85099B,JUMBO BAG RED RETROSPOT,5879.11,3189,111,74
At Risk,22053,EMPIRE DESIGN ROSETTE,3215.42,3916,2,2
Can't Lose Them,47566,PARTY BUNTING,5580.6,1298,50,20
Can't Lose Them,84078A,SET/4 WHITE RETRO STORAGE CUBES ,5042.8,144,10,2
Can't Lose Them,22423,REGENCY CAKESTAND 3 TIER,4511.65,425,58,27
Can't Lose Them,21212,PACK OF 72 RETROSPOT CAKE CASES,2027.03,4889,29,16
Can't Lose Them,84946,ANTIQUE SILVER T-LIGHT GLASS,1981.61,1837,16,6
Can't Lose Them,15036,ASSORTED COLOURS SILK FAN,1795.56,2532,5,4
Can't Lose Them,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1491.9,538,60,16
Can't Lose Them,84992,72 SWEETHEART FAIRY CAKE CASES,1347.55,3301,13,7
Can't Lose Them,21975,PACK OF 60 DINOSAUR CAKE CASES,1342.5,3246,16,5
Can't Lose Them,85099B,JUMBO BAG RED RETROSPOT,1341.1,747,22,12
Champions,22423,REGENCY CAKESTAND 3 TIER,104838.9,9193,980,345
Champions,85123A,WHITE HANGING HEART T-LIGHT HOLDER,67695.35,24547,1178,352
Champions,85099B,JUMBO BAG RED RETROSPOT,61239.18,33305,1106,328
Champions,47566,PARTY BUNTING,43127.13,9677,798,300
Champions,84879,ASSORTED COLOUR BIRD ORNAMENT,40661.38,25738,807,296
Champions,23084,RABBIT NIGHT LIGHT,37718.0,19756,591,279
Champions,79321,CHILLI LIGHTS,37313.45,7732,380,106
Champions,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,32049.03,11773,643,303
Champions,21137,BLACK RECORD COVER FRAME,31916.36,9337,215,73
Champions,82484,WOOD BLACK BOARD ANT WHITE FINISH,29536.16,5242,418,139
Hibernating,85099B,JUMBO BAG RED RETROSPOT,2203.16,1174,35,32
Hibernating,22423,REGENCY CAKESTAND 3 TIER,2058.45,175,40,38
Hibernating,62018,SOMBRERO ,1761.7,1406,3,3
Hibernating,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1588.9,582,37,35
Hibernating,47566,PARTY BUNTING,1405.0,300,36,36
Hibernating,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1373.55,509,25,24
Hibernating,85099C,JUMBO  BAG BAROQUE BLACK WHITE,1269.66,682,19,18
Hibernating,22625,RED KITCHEN SCALES,1132.2,144,21,19
Hibernating,22960,JAM MAKING SET WITH JARS,1102.75,275,35,34
Hibernating,85099F,JUMBO BAG STRAWBERRY,1092.35,583,21,20
Lost,23166,MEDIUM CERAMIC TOP STORAGE JAR,77213.6,74239,3,3
Lost,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,4130.7,1602,18,18
Lost,22423,REGENCY CAKESTAND 3 TIER,3948.3,330,87,85
Lost,22197,SMALL POPCORN HOLDER,3279.6,4516,25,25
Lost,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2303.2,816,89,88
Lost,47566,PARTY BUNTING,2292.75,491,64,63
Lost,21915,RED  HARMONICA IN BOX ,1815.25,1665,22,22
Lost,21621,VINTAGE UNION JACK BUNTING,1484.5,187,17,17
Lost,22960,JAM MAKING SET WITH JARS,1410.25,353,47,47
Lost,15036,ASSORTED COLOURS SILK FAN,1209.24,1748,16,16
Loyal Customers,22423,REGENCY CAKESTAND 3 TIER,11214.75,953,178,109
Loyal Customers,85099B,JUMBO BAG RED RETROSPOT,9092.52,4878,185,68
Loyal Customers,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,7187.19,7347,47,30
Loyal Customers,22273,FELTCRAFT DOLL MOLLY,7122.8,2840,44,31
Loyal Customers,47566,PARTY BUNTING,6482.8,1388,154,81
Loyal Customers,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5905.05,2119,208,96
Loyal Customers,22386,JUMBO BAG PINK POLKADOT,5796.17,3175,104,45
Loyal Customers,22570,FELTCRAFT CUSHION RABBIT,5531.49,1611,57,37
Loyal Customers,20971,PINK BLUE FELT CRAFT TRINKET BOX,5496.84,5076,59,34
Loyal Customers,22569,FELTCRAFT CUSHION BUTTERFLY,4839.51,1385,49,34
Need Attention,22423,REGENCY CAKESTAND 3 TIER,3142.2,260,68,55
Need Attention,84879,ASSORTED COLOUR BIRD ORNAMENT,2277.37,1393,71,54
Need Attention,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1800.45,619,79,63
Need Attention,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1768.4,632,65,62
Need Attention,47566,PARTY BUNTING,1188.0,240,56,47
Need Attention,23355,HOT WATER BOTTLE KEEP CALM,1035.15,213,50,46
Need Attention,85099B,JUMBO BAG RED RETROSPOT,1030.76,516,43,31
Need Attention,15036,ASSORTED COLOURS SILK FAN,970.44,1380,10,9
Need Attention,22699,ROSES REGENCY TEACUP AND SAUCER ,954.95,353,35,31
Need Attention,23298,SPOTTY BUNTING,950.4,192,44,40
New Customers,22413,METAL SIGN TAKE IT OR LEAVE IT ,3872.8,1408,3,3
New Customers,21479,WHITE SKULL HOT WATER BOTTLE ,304.0,80,4,4
New Customers,22112,CHOCOLATE HOT WATER BOTTLE,243.6,56,5,5
New Customers,23681,LUNCH BAG RED VINTAGE DOILY,145.0,100,1,1
New Customers,22752,SET 7 BABUSHKA NESTING BOXES,142.2,36,2,2
New Customers,35599B,BLACK CHRISTMAS TREE 120CM,140.4,72,1,1
New Customers,85123A,WHITE HANGING HEART T-LIGHT HOLDER,122.9,46,4,4
New Customers,22798,ANTIQUE GLASS DRESSING TABLE POT,122.4,48,1,1
New Customers,23076,ICE CREAM SUNDAE LIP GLOSS,120.0,96,3,3
New Customers,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,119.4,28,2,2
Potential Loyalists,23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,1
Potential Loyalists,23084,RABBIT NIGHT LIGHT,7910.42,4346,94,77
Potential Loyalists,85099B,JUMBO BAG RED RETROSPOT,3093.27,1664,49,43
Potential Loyalists,23582,VINTAGE DOILY JUMBO BAG RED ,2932.52,1619,20,18
Potential Loyalists,22423,REGENCY CAKESTAND 3 TIER,2916.0,240,89,74
Potential Loyalists,84879,ASSORTED COLOUR BIRD ORNAMENT,2463.74,1526,74,57
Potential Loyalists,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2335.7,846,88,74
Potential Loyalists,22138,BAKING SET 9 PIECE RETROSPOT ,1664.25,343,83,71
Potential Loyalists,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1629.25,587,59,46
Potential Loyalists,22617,BAKING SET SPACEBOY DESIGN,1495.2,336,33,31
Promising,22423,REGENCY CAKESTAND 3 TIER,817.2,72,6,6
Promising,22823,CHEST NATURAL WOOD 20 DRAWERS,440.0,4,1,1
Promising,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,329.58,50,3,3
Promising,22828,REGENCY MIRROR WITH SHUTTERS,290.0,2,1,1
Promising,23215,JINGLE BELL HEART ANTIQUE SILVER,283.4,158,3,3
Promising,23355,HOT WATER BOTTLE KEEP CALM,282.75,61,12,12
Promising,23356,LOVE HOT WATER BOTTLE,261.6,48,8,8
Promising,85014B,RED RETROSPOT UMBRELLA,255.45,51,2,2
Promising,85123A,WHITE HANGING HEART T-LIGHT HOLDER,218.3,74,11,11
Promising,22632,HAND WARMER RED RETROSPOT,204.9,109,3,3
